date	depth	temp	cond	do	turb	chl	batv	
199.5833	20.143	11.370	187.000	10.850	3.500	0.400	13.000	
199.6042	20.174	11.360	187.000	10.850	2.600	0.100	13.000	
199.6250	20.168	11.360	186.000	10.820	2.200	0.00	13.000	
199.6458	20.161	11.350	186.000	10.820	1.800	0.00	13.000	
199.6667	20.165	11.350	186.000	10.820	1.800	0.500	13.000	
199.6875	20.164	11.340	187.000	10.830	1.500	0.500	13.000	
199.7083	20.161	11.340	186.000	10.870	1.400	0.800	13.000	
199.7292	20.173	11.330	186.000	10.870	1.500	0.100	13.000	
199.7500	20.164	11.330	186.000	10.860	1.400	0.500	13.000	
199.7708	20.150	11.320	186.000	10.880	1.400	1.000	13.000	
199.7917	20.154	11.310	185.000	10.880	1.500	1.100	12.900	
199.8125	20.146	11.300	186.000	10.910	1.200	1.100	13.000	
199.8333	20.169	11.290	186.000	10.930	1.300	0.700	12.900	
199.8542	20.145	11.290	186.000	10.920	1.100	0.700	13.000	
199.8750	20.144	11.280	186.000	10.950	1.400	1.300	12.900	
199.8958	20.140	11.270	185.000	10.960	1.700	1.100	13.000	
199.9167	20.125	11.260	186.000	10.960	2.500	0.700	12.900	
199.9375	20.119	11.250	185.000	11.000	2.900	1.400	12.900	
199.9583	20.116	11.250	186.000	10.990	3.000	1.100	13.000	
199.9792	20.130	11.240	185.000	11.030	2.400	0.800	12.900	
200.0000	20.122	11.230	186.000	11.070	1.800	0.500	12.900	
200.0208	20.145	11.220	186.000	11.090	1.800	1.200	13.000	
200.0417	20.132	11.220	186.000	11.090	1.400	1.300	12.900	
200.0625	20.163	11.220	186.000	11.070	1.500	1.800	12.900	
200.0833	20.162	11.220	184.000	11.070	1.000	1.600	12.900	
200.1042	20.130	11.210	186.000	11.130	1.400	1.600	12.900	
200.1250	20.153	11.210	186.000	11.160	0.700	1.500	12.900	
200.1458	20.142	11.200	185.000	11.140	0.700	0.800	13.000	
200.1667	20.162	11.200	184.000	11.160	0.600	1.300	12.900	
200.1875	20.114	11.200	184.000	11.170	0.700	0.700	12.900	
200.2083	20.131	11.200	185.000	11.180	0.700	1.100	12.900	
200.2292	20.163	11.190	185.000	11.170	0.700	0.900	12.900	
200.2500	20.130	11.190	184.000	11.160	1.000	1.200	13.000	
200.2708	20.118	11.180	185.000	11.030	1.300	1.700	12.900	
200.2917	20.104	11.190	185.000	10.960	1.800	2.100	12.900	
200.3125	20.133	11.180	185.000	11.000	1.900	1.600	12.900	
200.3333	20.101	11.170	186.000	11.040	2.500	0.900	12.900	
200.3542	20.116	11.170	185.000	11.050	2.600	1.000	12.900	
200.3750	20.106	11.190	185.000	10.980	4.000	1.700	12.900	
200.3958	20.123	11.210	186.000	10.970	4.300	0.700	12.900	
200.4167	20.077	11.250	186.000	10.920	3.900	1.300	12.900	
200.4375	20.116	11.290	186.000	10.860	4.700	1.200	12.800	
200.4583	20.145	11.350	187.000	10.740	4.400	1.600	12.900	
200.4792	20.146	11.410	187.000	10.600	5.100	1.600	12.900	
200.5000	20.114	11.500	187.000	10.430	4.500	0.900	12.900	
200.5208	20.110	11.570	187.000	10.230	3.700	1.100	12.900	
200.5417	20.148	11.640	189.000	10.040	4.200	0.700	12.900	
200.5625	20.128	11.720	189.000	9.770	3.200	1.300	12.900	
200.5833	20.121	11.800	190.000	9.480	2.600	1.000	12.900	
200.6042	20.113	11.840	190.000	9.220	2.800	0.400	12.800	
200.6250	20.093	11.870	190.000	8.970	2.300	1.000	12.900	
200.6458	20.086	11.880	191.000	8.730	2.500	1.700	12.900	
200.6667	20.099	11.890	192.000	8.540	1.900	1.400	12.900	
200.6875	20.145	11.890	192.000	8.350	1.800	0.900	12.900	
200.7083	20.119	11.890	191.000	8.150	1.700	1.100	12.900	
200.7292	20.099	11.880	192.000	7.990	1.500	0.800	12.900	
200.7500	20.061	11.860	192.000	7.840	1.500	1.400	12.900	
200.7708	20.262	11.850	192.000	7.740	1.500	1.300	12.900	
200.7917	20.238	11.830	192.000	7.520	1.500	0.800	12.900	
200.8125	20.097	11.850	192.000	7.190	1.400	1.000	12.900	
200.8333	20.107	11.850	192.000	6.920	1.500	1.700	12.800	
200.8542	20.081	11.860	193.000	6.670	1.400	1.700	12.900	
