 YSI data from 1 mab at station 11 2007, times are edt
     date    depth     temp     cond       do     turb      chl     batv
 199.8750   19.378   12.110  194.000    2.570  449.500   -0.100   13.000
 199.8958   19.399   12.130  195.000    3.200  301.600    0.600   13.000
 199.9167   19.388   12.100  195.000    2.960  305.800    0.000   13.000
 199.9375   19.363   12.130  195.000    3.020  332.200    0.000   13.000
 199.9583   19.383   12.120  195.000    3.050  345.800    0.000   13.000
 199.9792   19.384   12.050  194.000    2.930  356.800    0.000   12.900
 200.0000   19.408   12.030  194.000    2.930  363.100   -0.700   13.000
 200.0208   19.407   12.010  194.000    2.850  368.400   -0.300   13.000
 200.0417   19.379   11.990  194.000    2.790  371.200   -0.300   13.000
 200.0625   19.357   11.980  194.000    2.770  374.600   -0.500   13.000
 200.0833   19.372   11.980  194.000    2.900  374.400   -0.700   13.000
 200.1042   19.373   11.980  194.000    3.460  375.100    0.000   13.000
 200.1250   19.399   11.980  194.000    3.450  376.700   -0.400   12.900
 200.1458   19.388   11.980  194.000    3.450  378.700   -0.600   13.000
 200.1667   19.387   11.970  194.000    3.550  380.000   -0.800   13.000
 200.1875   19.414   11.970  194.000    3.630  382.000    0.200   13.000
 200.2083   19.405   11.960  194.000    3.750  382.700    0.000   13.000
 200.2292   19.421   11.960  193.000    3.830  384.700   -0.600   13.000
 200.2500   19.387   11.970  194.000    3.850  378.900   -0.800   13.000
 200.2708   19.366   11.960  194.000    4.030  358.000   -1.100   13.000
 200.2917   19.359   11.970  193.000    4.130  338.900   -1.000   12.900
 200.3125   19.338   11.960  193.000    4.190  314.700   -0.800   12.900
 200.3333   19.339   11.960  193.000    4.270  307.600   -0.100   12.900
 200.3542   19.378   11.960  193.000    4.430  283.000   -0.500   13.000
 200.3750   19.389   11.950  193.000    4.590  259.300   -1.100   12.900
 200.3958   19.399   11.940  193.000    4.750  222.400   -0.800   12.900
 200.4167   19.423   11.930  193.000    4.800  216.600   -0.700   13.000
 200.4375   19.417   11.920  193.000    4.850  215.200   -0.600   12.900
 200.4583   19.442   11.900  193.000    4.900  203.600    0.600   12.900
 200.4792   19.421   11.900  193.000    5.000  203.300   -0.300   13.000
 200.5000   19.396   11.890  193.000    5.030  203.100   -0.600   12.900
 200.5208   19.389   11.900  193.000    5.070  203.400   -0.800   12.900
 200.5417   19.414   11.890  193.000    5.150  204.600   -0.300   12.900
 200.5625   19.364   11.860  193.000   33.700  205.200   -0.500   12.900
 200.5833   19.345   11.740  192.000   35.990  202.400    0.100   12.900
 200.6042   19.347   11.640  191.000   19.590  198.700   -0.600   12.900
 200.6250   19.352   11.570  191.000   18.320  210.800   -0.400   12.900
 200.6458   19.373   11.520  191.000   17.850  209.700    0.100   12.900
 200.6667   19.359   11.460  191.000   18.450   25.800   -1.100   12.900
 200.6875   19.329   11.370  190.000   17.170 -193.200   -0.200   13.000
 200.7083   19.293   11.240  190.000   18.000 -193.000   -0.500   13.000
 200.7292   19.264   11.190  189.000   17.840 -193.000   -0.800   13.000
 200.7500   19.318   11.130  189.000   17.910 -192.900   -0.700   12.900
 200.7708   19.339   11.150  189.000   17.840 -192.900   -0.200   13.000
 200.7917   19.494   11.080  189.000   17.570 -192.800   -0.400   13.000
 200.8125   19.344   11.040  188.000   17.550 -192.700   -0.700   13.000
 200.8333   19.287   10.990  188.000   17.700 -192.700   -0.200   13.000
 200.8542   19.274   11.000  188.000   18.000 -192.700   -0.500   13.000
 200.8750   19.337   10.990  188.000   17.950 -192.700    0.300   13.000
 200.8958   19.402   11.000  188.000   18.120 -192.700   -0.100   13.000
 200.9167   19.417   11.020  188.000   17.860 -192.700   -0.500   13.000
 200.9375   19.404   11.030  189.000   18.030 -192.700   -0.200   13.000
 200.9583   19.294   11.030  189.000   18.160 -192.700   -0.400   12.900
 200.9792   19.293   11.040  189.000   18.110 -192.700    0.100   12.900
 201.0000   19.319   11.080  185.000   18.240 -192.800   -0.200   13.000
 201.0208   19.396   11.160  190.000   18.530 -192.900   -0.600   13.000
 201.0417   19.399   11.200  190.000   18.440 -193.000    0.000   13.000
 201.0625   19.436   11.190  190.000   18.290 -193.000   -0.300   13.000
 201.0833   19.396   11.210  186.000   18.050 -193.000   -0.300   13.000
