 YSI data from 1 mab at station  7 2007, times are edt                                         
     date    depth     temp     cond       do     turb      chl     batv        
 200.1875   22.630   10.290  188.000    8.040    1.400    2.400   12.900
 200.2083   23.915   10.290  188.000    7.740    1.800    3.200   12.900
 200.2292   23.905   10.300  188.000    7.780    1.800    3.200   12.900
 200.2500   23.919   10.300  188.000    7.840    2.000    3.300   12.900
 200.2708   23.942   10.310  188.000    7.870    3.100    4.800   13.000
 200.2917   23.895   10.320  188.000    7.900    1.800    4.300   13.000
 200.3125   23.900   10.330  188.000    7.900    1.800    3.800   13.000
 200.3333   23.904   10.340  188.000    7.900    1.800    3.900   13.000
 200.3542   23.901   10.350  188.000    7.920    2.100    3.600   13.000
 200.3750   23.911   10.360  188.000    7.930    1.700    2.700   13.000
 200.3958   23.930   10.380  188.000    7.920    1.700   -2.900   13.000
 200.4167   23.913   10.390  188.000    7.940    1.700    4.800   13.000
 200.4375   23.897   10.400  188.000    7.940    1.700    5.700   13.000
 200.4583   23.925   10.410  188.000    7.950    1.700    5.800   13.000
 200.4792   23.890   10.430  188.000    7.970    1.700    3.300   13.000
 200.5000   23.925   10.440  188.000    7.950    1.700    3.700   13.000
 200.5208   23.926   10.450  188.000    7.940    1.700    3.500   13.000
 200.5417   23.947   10.460  188.000    7.950    1.900   18.800   13.000
 200.5625   23.946   10.470  189.000    7.950    1.700   -2.600   13.200
 200.5833   23.959   10.480  189.000    7.950    1.500   -4.100   13.600
 200.6042 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.600
 200.6250 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.400
 200.6458 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.400
 200.6667 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.400
 200.6875 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.400
 200.7083 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.500
 200.7292 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.400
 200.7500 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.500
 200.7708 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.400
 200.7917 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.400
 200.8125 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.400
 200.8333 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.400
 200.8542 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.400
 200.8750 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.400
 200.8958 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.400
 200.9167 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.300
 200.9375 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.300
 200.9583 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.300
 200.9792 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.400
 201.0000 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.300
 201.0208 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.300
 201.0417 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.300
 201.0625 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.300
 201.0833 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.400
 201.1042 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.300
 201.1250 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.200
 201.1458 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.200
 201.1667 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.300
 201.1875   24.092   10.310  189.000   -5.600    1.600  -50.000   15.700
 201.2083   24.151   10.320  189.000   -5.600    1.600  -50.000   15.900
 201.2292   24.168   10.330  189.000   -5.600    1.600  -50.000   15.700
 201.2500   24.188   10.330  189.000   -5.600    4.200  -50.000   15.700
 201.2708   24.222   10.330  189.000   -5.120    1.500  -50.000   15.800
 201.2917   24.148   10.330  189.000   -3.520    1.500  -50.000   14.700
 201.3125   24.161   10.330  189.000    5.670    1.800  -50.000   14.700
 201.3333   24.121   10.330  189.000    6.140    1.500  -50.000   14.500
 201.3542   24.098   10.330  189.000    6.990    1.500  -50.000   13.600
 201.3750   24.141   10.320  189.000    6.950    1.500  -50.000   13.400
 201.3958   24.149   10.300  189.000    7.320    1.500  -50.000   13.400
 201.4167   24.122   10.280  188.000    7.890    1.600  -50.000   13.300
 201.4375   24.179   10.260  188.000    7.370    1.400  -50.000   13.200
 201.4583   24.125   10.240  188.000    7.210    1.500  -50.000   13.300
 201.4792   24.127   10.210  188.000    7.060    1.400  -50.000   13.300
